,title,dates,place,description
64,"📖 🪶 Plume - Pensieri, Letture, Visioni a Zona Franka!",11.04.2025 | 20:30 - 23:59,"Zona Franka 3.zero

https://www.instagram.com/p/DIQ1UYPt9Yl/?igsh=MWllamR4cG5pM3EwMg==

🗓 Venerdì 11 Aprile a partire dalle h 20.30 vi aspettiamo nel nostro spazio in Via Dalmazia, 35 a Bari per presentare il nuovo numero della rivista culturale Plume.

“Il tema del nuovo numero é quello dei “Linguaggi di comunità”, questa strana accezione di cui abbiamo sentito la necessità di definire attraverso il confronto e le argomentazioni di tutte le autrici e gli autori all’interno del numero.”

📚Sarà possibile acquistare le copie della rivista, le stampe di @letterecubitaliaps e una birra per passare la serata in compagnia!

✨Trovi il nuovo numero di Plume su www.letterecubitali.it

💳 L’ingresso è riservato ai soci ARCI. La tessera ha il costo di 10 euro ed è possibile ritirarla direttamente in sede.",
65,🎹 ✹ 𝗦𝗘𝗘𝗗𝗦: 𝘁𝗵𝗲 𝗦𝗽𝗿𝗶𝗻𝗴 𝗧𝗮𝗹𝗲𝘀 ✹,,,
66,🎹 THE ONLY GOOD SYSTEM... COME AGAIN! benefit ,12.04.2025 | 22:00 - 04:00,"Le Macerie - Baracche Ribelli

🏴‍☠️ LE MACERIE BARACCHE RIBELLI in collaborazione con CSOA FORTE PRENESTINO presentano

🔊 THE ONLY GOOD SYSTEM…COME AGAIN! benefit 🔊

Ci vediamo SABATO 12 APRILE 2025 per un'imperdibile festa con il Sound System di MIDNIGHT RESISTANCE e tantə dj localz e non. La serata si svolgerà in vista del secondo appuntamento de ""THE ONLY GOOD SYSTEM...COME AGAIN"" il quale si terrà il 31 maggio e il 1 giugno presso il CSOA FORTE PRENESTINO a Roma, dove il collettivo de LE MACERIE BARACCHE RIBELLI insieme al Sound di MIDNIGHT RESISTANCE rappresenterà la Puglia insieme a svariati altri Sound System provenienti da Centri Sociali e realtà da tutto lo stivale! 

🔥Di seguito la super line up della serata🔥
start ore 22:

MARIO DREAD (Outta Cool Runnings - Roma)
SHANTY CREW
BONNIE VALENTINE
ENGLISH MAN
ANDRISOUND

powered by
MIDNIGHT RESISTANCE HI-FI 

🍺 Area Food... [continua a leggere","SHANTY CREW
BONNIE VALENTINE
ENGLISH MAN
ANDRISOUND

powered by
MIDNIGHT RESISTANCE HI-FI 

🍺 Area Food... [continua a leggere](https://www.apuliacore.org/evento/e7bb6df5-934c-4e46-bcc7-7c1a218a15ac"
67,✊ Solidarietà - Attivarsi per aiutare il prossimo,12.04.2025 | 17:00,"Caffè Portineria Bari

✨ Secondo appuntamento del progetto ""Radici - racconti di attivismo civico in Puglia"", in cui registreremo live gli episodi 3 e 4 del podcast.

🌀 Parleremo di attivismo tramite la solidarietà, e lo faremo con:

🌱 Marialuisa Lapenna, referente volontaria di Progetto itaca, associazione che da 25 anni si occupa su territorio nazionale di informazione, prevenzione, supporto e riabilitazione rivolti a persone con disturbi mentali e ai loro familiari.

🌱 Marcello Signorile presidente della Cooperativa Sociale CAPS, promotore di un welfare generativo, medico estetico per formazione, manager per vocazione, con la passione del nuoto, serie tv e nuove tecnologie.

🌈 Solidarietà: attivarsi per aiutare il prossimo
🗓️ Sabato 12 aprile, ore 17.00
",
68,🎹 “FIGLI DELLE STELLE” - FESTA IN UNIVERSITÀ!🕺 INGRESSO GRATUITO! ,09.04.2025 | 21:00 - 01:30,"Department of Physics

https://www.instagram.com/p/DH34jlht-Kk/?igsh=MWpwNnl6cm5hb3dmZQ==

🗓 Mercoledì 9 aprile || H 21:00
",
69,"❔ Pasquaredda Indaranch`
",21.04.2025 | 12:00 - 22:00,"C.da Madonna D’Attoli, Ginosa (TA)

🐣 PASQUAREDDA INDARANCH - 4^ edizione
🗓️ 21 APRILE 2025
⏱️ START ORE 12:00
","
🐣 PASQUAREDDA INDARANCH - 4^ edizione
🗓️ 21 APRILE 2025
⏱️ START ORE 12:00
 Contrada Madonna D'Attoli, Ginosa (TA

Area Barbecue + Posto a sedere 🍖 
(PRENOTAZIONE OBBLIGATORIA
Music All day long 🎶 🎧
        Indahouse VinylSet
        Live music con i “Good Ole Boys”
Sport Area 🏓 ⚽️ 🏐 
Laboratorio di ceramica con “Bottega Marilli” 🤲🏼

Evento garantito anche in caso di maltempo.

Ti aspettiamo INDARANCH 🔥❤️

ℹ️ Info e Prenotazioni in DM

✅ TESSERA INDAHOUSE 2025/2026

https://wallyfor.com/step1.php?idcode=5063

Costo tessera 10€, con validità di 1 anno, che vi consentirà di partecipare gratuitamente ai
futuri eventi estivi.

‼️APRI IL LINK SU SAFARI O CHROME 

⚠️ INGRESSO RISERVATO AI TESSERATI ⚠️"
70,🎹 PARTY,05.04.2025 | 21:00 - 23:59,"Bread&Roses - Spazio di mutuo soccorso

dopo l’incontro pomeridiano su villa capriati, eccoci con un rituale cosmico di danza bassi batterie ricordi sogni e riflessioni. vulevù dansé? 🥸
lascia allora che lə diə dello swag prenda spazio in te… 
dj-enJoy music 👽
dj-enJoy dance 🫦
dj-enJoy life and death all’unisono 👃🏻
forevah 👅

via amendola 189/a 
start h 22 
ingresso con contributo libero

- il repertorio di j silenzio spazia fra la deconstructed, la jungle, la drill e l’impossibile a dirsi; con una frequente strizzatina d’occhio alla crème de la crème de la crème de la crème de la 
musica elettronica sperimentale ;)…..
egli si propone come Scopo Assoluto l’evocazione della nota “Swag Emozione”, in una passionale militanza contro quel governo che, dalla tassa sul drip in poi, non fa che tarpare le ali dei neo-dionisiacə

- RMTN è una strana creatura di origini iraniane, precursore in puglia della scena musicale di matrice uk e bass dal... [continua a leggere","..
egli si propone come Scopo Assoluto l’evocazione della nota “Swag Emozione”, in una passionale militanza contro quel governo che, dalla tassa sul drip in poi, non fa che tarpare le ali dei neo-dionisiacə

- RMTN è una strana creatura di origini iraniane, precursore in puglia della scena musicale di matrice uk e bass dal... [continua a leggere](https://www.apuliacore.org/evento/b04f848c-c317-4fb5-9b7e-91832ca387e5"
71,"🎹 PreDelay: FLUOBAGOOL+INHERENT VICE+MEMORIA`
",29.03.2025 | 21:00 - 30.03.2025 | 00:00,"Extreme Music Academy, Traversa I Via Glomerelli, 17, 70132 Bari, Italy

Cos’è il Pre-Delay? 🤔
Un parametro essenziale per discernere le distanze, collocare persone e oggetti nello spazio. Ma anche un palco per dare voce a progetti musicali appena nati, per trasformare idee in suono, per avvicinare il pubblico a nuove realtà sonore.
La rassegna musicale promossa da SPRING REVERB STUDIO porta i primi tre progetti musicali all’Extreme Music Accademy di Bari per un evento con atmosfere elettroniche, ambient e softronic.

Evento Facebook: https://www.facebook.com/events/579828605085994

Biglietti su Dice -> https://link.dice.fm/w352be768fcd
Link tesseramento -> https://extrememusicacademy.it/tesseramento/
Costo del biglietto 6€ + tesseramento obbligatorio",
72,🎨 IncontrArte 🫀 Cerchi di Arte Condivisa🎨,27.04.2025 | 11:00 - 14:00,"Parco Campagneros

🎨🌿 Una comunità dove ogni arte è accetta, in qualsiasi forma! Un'occasione per condividere la tua arte e creare in compagnia. Uno spazio dove si è liber3 di esprimere sé stess3.
Ognun porta la propria arte, ci sediamo in cerchio e ci mettiamo a creare insieme!

💰 Incontri gratuiti
❗ ATTENZIONE: Evento automaticamente annullato in caso di pioggia - entra nel gruppo whatsapp per essere aggiornat.

 ➡️ GRUPPO WHATSAPP: https://shorturl.at/2xLwe
➡️ IG: https://shorturl.at/FCHpZ
➡️ Eventbrite: 
https://www.eventbrite.com/cc/incontrarte-cerchi-di-arte-condivisa-3743179?fbclid=PAY2xjawJHwJtleHRuA2FlbQIxMQABpmRs5IFfW2IRvEf3hQb04jE_F9UdztDPK48KuzMlYPEzJytfPTrmkqgM_A_aem_Hnpr5XSdk1WDFNGHxSKWsw",
73,🎹 POP PUNK’S NOT DEAD,22.03.2025 | 20:25 - 20:25,"Bread&Roses - Spazio di mutuo soccorso

💀POP PUNK'S NOT DEAD💀

Sabato 22 Marzo saremo accompagnati da @over_the.fence e @jettcole.music_  per fare un po' di casino e pogare insieme!!!!

",
74,🎹 🍬CARAMELLE (di tutti i gusti!) 🍬 - Il nuovo format del giovedì di Zona Franka!,20.03.2025 | 20:00 - 23:59,"Zona Franka 3.zero

https://www.instagram.com/p/DHT2m7utf0v/?igsh=MXhsMDdrZXpyenp6eA==

Nicoló Sasso & Paolo Hz vi aspettano a Zona Franka per il quinto episodio di Caramelle 🍬
 
📆GIOVEDÌ 20 MARZO 
🍸START ORE 20
🎤NICOLÓ SASSO LIVE - ORE 21
🎧PAOLO HZ - DJ SET ORE 22
 
",
75,"🎥 CinePuzzle - Il Cinema Condiviso per il FUORI BIFEST`
",24.03.2025 | 21:00,"Experience presso Palazzo Verrone Str. Verrone 8
",
76,"🎹 Winstoned live - Scarlatti Caffè`
",15.03.2025 | 22:00 - 16.03.2025 | 00:00,"Scarlatti Caffè, Ruvo di Puglia (BA)

.","
."
77,🎹 NOTE AI MARGINI // TALK • LIVE FUUG (Roma) • DJSET,15.03.2025 | 21:00 - 02:00,"Le Macerie - Baracche Ribelli

SABATO 15.03 
LE MACERIE BARACCHE RIBELLI

¥ NOTE AI MARGINI ¥
RASSEGNA DI CONTROCULTURA ARTE MUSICA

••••••••• Programma •••••••••

🪬 Ore 21 APERTURA PORTE

🕳️ Ore 21.30_TALK •••••••••• 

~ POISONER IN CHIEF
di Stephen Kinzer
(Henry Holt and Co., 2019)

Sidney Gottlieb and the CIA Search for the mind Control : il caso MK ULTRA

Talk a cura di Giuseppe Maggialetti e Gianmarco Morea

👁️ Ore 23_LIVE ••••••••••

~ SIMONE DE NITTI 
Ambient/Minimal Music

~ FUUG (ROMA)
MathRock/Idm/Psych

Power band con membri di Malclango, Nohaybanda e World Service Project

🦠 Ore 01_DJSET ••••••••••

~ KRACKO1
NEW SPECIES/HULABULAH
Breakbeat Electro

•••••••••••••••••••••••••••••

Area Food&Bar presente
Ingresso con contributo

⚠️ Nel posto vive una colonia felina ⚠️","
Sidney Gottlieb and the CIA Search for the mind Control : il caso MK ULTRA

Talk a cura di Giuseppe Maggialetti e Gianmarco Morea

👁️ Ore 23_LIVE ••••••••••

~ SIMONE DE NITTI 
Ambient/Minimal Music

~ FUUG (ROMA
MathRock/Idm/Psych

Power band con membri di Malclango, Nohaybanda e World Service Project

🦠 Ore 01_DJSET ••••••••••

~ KRACKO1
NEW SPECIES/HULABULAH
Breakbeat Electro

•••••••••••••••••••••••••••••

Area Food&Bar presente
Ingresso con contributo

⚠️ Nel posto vive una colonia felina ⚠️"
78,"👾 ""COMET CLUB"" a Spine. Presentazione e dediche con YI YANG.",28.03.2025 | 18:30 - 20:30,"Spine Bookstore c/o Officina degli Esordi

Marzo a Spine Bookstore si conclude con una ciliegina sulla torta, per il ciclo di incontri e presentazioni del mese organizzate in Officina degli Esordi.
Il prossimo 28 Marzo alle 18.30, il booktour del graphic novel ""COMET CLUB"" pubblicato da Bao Publishing, con la sua autrice Yi Yang 一徉 farà tappa anche a #Bari e #Bisceglie per l'ultimo appuntamento della rassegna organizzata con Bicomix.

Yi Yang, fresca candidata nella categoria Miglior Disegno al Comicon 2025, incontrerà i lettori e le lettrici baresi dal vivo, con una presentazione seguita dal consueto dedicacopie.
A moderare l'incontro, avremo il piacere di avere con noi Francesco Sinisi.

_IL FUMETTO_
Yi Yang, già autrice di ""Easy Breezy"" e ""Deep Vacation"", torna con un romanzo grafico che sfrutta le stesse atmosfere dei suoi lavori precedenti,... [continua a leggere",
79,❔ ✨Corso base di lettura ARCANI MAGGIORI con Gabriele Torchetti da Spine,18.03.2025 | 18:01 - 01.04.2025 | 21:00,"Spine Bookstore c/o Officina degli Esordi

✨
Arriva anche a SPINE Bookstore, in Officina degli Esordi a #Bari, il #laboratorio base per approcciarsi alla lettura dei #tarocchi.
Il laboratorio sarà tenuto da Gabriele Torchetti Amoruso, libraio di Un Panda sulla Luna di Terlizzi.

Gli arcani maggiori sono come uni specchio che indaga il presente, è dal presente che partiamo verso il futuro.
Gli Arcani riflettono la nostra interiorità. Connettiamoci al nostro intuito, accantoniamo il giudizio in ogni sua forma e impariamo ad ascoltare.

Il laboratorio, che si svolgerà per tre appuntamenti in Officina degli Esordi (Via Crispi 5), si svolgerà in queste modalità:
🟠 1° incontro (18 Marzo 2025, ore 18-21)
Significati e simboli degli archetipi: verranno esplorati i 22 arcani maggiori con i loro molteplici significati.
🟠 2° INCONTRO (25 Marzo 2025, ore 18-21)
Stese base... [continua a leggere"," si svolgerà in queste modalità:
🟠 1° incontro (18 Marzo 2025, ore 18-21
Significati e simboli degli archetipi: verranno esplorati i 22 arcani maggiori con i loro molteplici significati.
🟠 2° INCONTRO (25 Marzo 2025, ore 18-21
Stese base... [continua a leggere](https://www.apuliacore.org/evento/612a6d0d-2cec-4fbc-a734-925344d30b7b"
80,🎹 Seeds ,15.03.2025 | 20:30 - 02:00,"MAT laboratorio urbano

Questo weekend parte un nuovo progetto di Secolare Festival insieme al Mat Laboratorio Urbano, si chiama Seeds e mette al centro le band del nostro territorio. Due appuntamenti per ora, il 15 Marzo e l'11 Aprile, tre band per serata, due palchi, un live podcast, un dj set finale.

Iniziamo sabato con Leland Did It, Gaia Rollo e Paesaggio, tre act molto diversi tra loro che incarnano tre modi bellissimi di fare musica in Puglia. In più la prima puntata di The Listening Session, il live podcast di Vinxanity e Cla Casta sulle musiche altre e il dj set elettro di TMMI. 

I ticket sono popolari, 6 euro per la singola giornata e 10 euro per l'abbonamento che comprende anche l'11 Aprile. Vi consigliamo la prevendita, si acquista qui,'è qualche spicciolo in più ma vi assicurate il posto https://www.diyticket.it/festivals/680/seeds

Vi aspettiamo, l'aria di primavera è arrivata

Seeds
The spring tales",
81,"🎹 BREAK OUT`
",15.03.2025 | 19:30 - 23:30,"""DIFRONTE"", Corato (BA), Via S. Maria 34

⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️
Questo weekend sarà molto punk. 🔥

Salva la data 15/3/25 🤟

🪖Per la prima volta sull'asfalto di DIFRONTE con Belintesta,  Ruidosos  e tornano gli Ultima Ratio.

Preparatevi!!🔥
UP THE PUNX!! OR DIE!! 

No evento fb ✅"," Via S. Maria 34

⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️
Questo weekend sarà molto punk. 🔥

Salva la data 15/3/25 🤟

🪖Per la prima volta sull'asfalto di DIFRONTE con Belintesta,  Ruidosos  e tornano gli Ultima Ratio.

Preparatevi!!🔥
UP THE PUNX!! OR DIE!! 

No evento fb ✅"
82,🎨 IncontrArte🎨🫀,16.03.2025 | 11:00 - 13:00,"Parco Campagneros, Bari, Via Raffaele Bovio 16-18

🎨 IncontrArte🫀 - Cerchi di Arte Condivisa✨

🎨🌿 Una comunità dove ogni arte è accetta, in qualsiasi forma! Un'occasione per condividere la tua arte e creare in compagnia. Uno spazio dove si è liber3 di esprimere sé stess3.
Ognun porta la propria arte, ci sediamo in cerchio e ci mettiamo a creare insieme! (PS. spesso parte la jam session di rito🤭)

(ATTENZIONE: Evento automaticamente annullato in caso di pioggia - entra nel gruppo whatsapp per essere aggiornat)

 ➡️ GRUPPO WHATSAPP: https://shorturl.at/2xLwe
➡️ IG: https://shorturl.at/FCHpZ
➡️ Eventbrite: 
https://www.eventbrite.co.uk/e/biglietti-incontrarte-cerchio-di-arte-condivisa-orto-sociale-campagneros-1098025847869?aff=oddtdtcreator","
(ATTENZIONE: Evento automaticamente annullato in caso di pioggia - entra nel gruppo whatsapp per essere aggiornat

 ➡️ GRUPPO WHATSAPP: https://shorturl.at/2xLwe
➡️ IG: https://shorturl.at/FCHpZ
➡️ Eventbrite: 
https://www.eventbrite.co.uk/e/biglietti-incontrarte-cerchio-di-arte-condivisa-orto-sociale-campagneros-1098025847869?aff=oddtdtcreator"
83,"✊ Contro l’INDIFFERENZA, coloriamoci di LILLA💜",15.03.2025 | 16:30 - 18:30,"Piazza Francesco Carabellese

Il 15 marzo è la giornata nazionale del fiocchetto lilla.
Quest’anno, come quelli passati, sentiamo la necessità di parlare e sensibilizzare su questa tematica che ancora oggi non viene presa abbastanza sul serio

La percentuale di persone affette da DCA cresce sempre di più ed è una delle cause più comuni di morte tra i giovani.

Noi non siamo indifferenti a questo, ci siamo e ci saremo sempre.
Ci vediamo in piazza carabellese in 15 marzo alle 16:30.
Non essere indifferente. 🟣✊",
84,🎹 🍬CARAMELLE (di tutti i gusti!) 🍬 - Il nuovo format del giovedì di Zona Franka!,13.03.2025 | 20:00 - 23:59,"Zona Franka 3.zero

https://www.instagram.com/p/DHBwEeeNA8p/?igsh=MXNxeDA3bGhkYjkxZA==

Chiara Lacasella & Margaret vi aspettano a Zona Franka per il quarto episodio di Caramelle 🍬

📆GIOVEDÌ 13 MARZO
🍸START ORE 20
🎤CHIARA LACASELLA LIVE - ORE 21
🎧MARGARET - DJ SET ORE 22

",
85,"🎹 PORCI COMODI + PROMETHEO`
",15.03.2025 | 21:00 - 16.03.2025 | 00:00,"Extreme Music Academy, Traversa I Via Glomerelli, 17, 70132 Bari, Italy

Tutte le informazioni qui: https://fb.me/e/2RhJJUYG8

• Link acquisto biglietto dice --> https://link.dice.fm/Yf811aade4b9
• Vi ricordiamo che l'evento è riservato ai soci (validità 2025). Potete tesserarvi cliccando su questo link --> https://extrememusicacademy.it/tesseramento/", Potete tesserarvi cliccando su questo link --> https://extrememusicacademy.it/tesseramento/
86,"✊ LOTTO BOICOTTO SCIOPERO`
",08.03.2025 | 11:00 - 17:00,"Piazza Risorgimento,Bari

","🕚 Dalle 11:00 alle 18:00

Non vogliamo città militarizzate, vogliamo spazi vivi, attraversati dai nostri corpi e dai nostri desideri. L’8 marzo stiamo in piazza, perché le nostre lotte non si confinano nelle case né nei luoghi di sfruttamento. Scioperiamo dal lavoro riproduttivo e ci riprendiamo il tempo per stare insieme, per conoscerci, per immaginare e costruire un mondo diverso.

⚡ Laboratori
⚡️ Serigrafia dal vivo
⚡ Tatuaggi Amazigh
⚡ Performance, musica, interventi 

Live di : 
🔥Lady B aka lady Barese 
🍉Anafem
🌹Lady Rhuna

porta del cibo da mangiare e condividere…. e una maglietta da serigrafare!❤️‍🔥

Porta soprattutto te stə stessə, porta rabbia, voglia di stare e di lottare. La piazza è nostra, riprendiamocela!"
87,✊ CORTEO TRANSFEMMINISTA OTTO MARZO 📣 ♀️,08.03.2025 | 17:00 - 21:00,"Piazza Umberto I

https://www.instagram.com/p/DGlSKx4NYxt/?igsh=MWJvMXZ5YnJjMmc4OA==

L’OTTO MARZO NON FATECI LA FESTA: NON VOGLIAMO MIMOSE, MA PANE PACE E ROSE 📣 ♀️

In occasione dell’8 marzo, Giornata internazionale dei diritti delle donne, scendiamo in piazza per opporci alla natura strutturale della violenza patriarcale, che coinvolge tutte e che viene esercitata con forme di abuso fisico, psicologico, economico e in ambito relazionale, lavorativo, domestico, scolastico e universitario.

Per questo e tanto altro, l’otto marzo non fateci la festa! Vediamoci in Piazza Umberto a Bari dalle 17.00 per una passeggiata rumorosa.

🗣Non mimose, ma pane, pace e rose! Scendiamo insieme in piazza!",
88,🎹 The Niro & Giò Sada live,07.03.2025 | 21:00 - 23:59,"Accademia Del Cinema Ragazzi - Enziteto

THE NIRO LIVE - con il suo ultimo album di inediti ""Un mondo perfetto"", The Niro ci porta nel cuore della sua anima musicale. 

Ma non e' tutto...

Nella stessa serata avremo il piacere di ascoltare anche GIÓ SADA, in un set acustico che promette di mirare dritto al vostro cuore!",
89,🎭 Nutrire Resistenza 🍉,07.03.2025 | 20:30 - 23:30,"Spazio 13

Una serata di comunità e arte come raccolta fondi per la Pal3stina

Prendono parte della serata l3 artist3:

- Le Tevas
- Adolfo La Volpe
- Cantiere Comune Mediterraneo

La cui musica si incrocerà con una restituzione da parte dell3 partecipant3 al laboratorio di teatro fisico: Holding Space for Palestine, a cura di Leo Kay.

Impareremo anche delle ricette tipiche, fra musica, teatro e poesia.

‼️ Per partecipare o sostenere la beneficenza, dona il tuo contributo economico che andrà a sostegno della Pal3stina

➡️ https://gofund.me/2f8b9c41

Se non partecipate alla serata potete comunque donare scrivendo ""anonimo"" 🙏🏻❤️🍉",
90,"🎭 WOW - uno Show di Stand-Up Comedy`
",06.03.2025 | 21:00 - 23:00,"Nassau Pub & Pirates, via Domenico Nicolai, 22, Bari (BA)

LA STAND-UP TORNA AL NASSAU ❤️
WOOOOOOOW!

Una mandria di comici che provano pezzi:
Quindi monologhi nuovi, comici nuovi. 
Non dirmi che te lo vuoi perdere?! 😉

Ci vediamo questo Giovedì puntuali!
Prima si mangia e poi inizia la Stand-up 👀

Prenota al +39 340 134 9061","
LA STAND-UP TORNA AL NASSAU ❤️
WOOOOOOOW!

Una mandria di comici che provano pezzi:
Quindi monologhi nuovi, comici nuovi. 
Non dirmi che te lo vuoi perdere?! 😉

Ci vediamo questo Giovedì puntuali!
Prima si mangia e poi inizia la Stand-up 👀

Prenota al +39 340 134 9061"
91,🎭 🍬CARAMELLE (di tutti i gusti!) 🍬 - Il nuovo format del giovedì di Zona Franka!,06.03.2025 | 20:00 - 23:59,"Zona Franka 3.zero

https://www.instagram.com/p/DGu8aLMNWcL/?igsh=NTR2aWQ5b3NrejVr
 
Luigi Biancoli & Chiara b2b Bariloz vi aspettano a Zona Franka per il terzo episodio di Caramelle 🍬
 
📆GIOVEDÌ 6 MARZO 
🍸START ORE 20
🎤LUIGI BIANCOLI - STAND UP COMEDY ORE 21
🎧CHIARA b2b BARILOZ - ORE 22
 
",
92,🎨 IncontrARTE 🫀 Cerchi di Arti Condivise 🎨,07.03.2025 | 19:00 - 21:00,"Spazio 13

🎨🌿 Una comunità dove ogni arte è accetta, in qualsiasi forma! Un'occasione per condividere la tua arte e creare in compagnia. Uno spazio dove si è liber3 di esprimere sé stess3.
Ognun porta la propria arte, ci sediamo in cerchio e ci mettiamo a creare insieme!

 ➡️ GRUPPO WHATSAPP: https://shorturl.at/2xLwe
➡️ IG: https://shorturl.at/FCHpZ
➡️ Eventbrite: 
https://www.eventbrite.co.uk/e/biglietti-incontrarte-cerchio-di-arte-condivisa-orto-sociale-campagneros-1098025847869?aff=oddtdtcreator",
93,✊ Media: attivarsi per raccontare il mondo,01.03.2025 | 17:00 - 19:30,"Caffè Portineria Bari

✨ Parte il progetto ""Radici - Racconti di attivismo civico in Puglia"", sostenuto dall'Unione Europea grazie al Corpo Europeo di Solidarietà.

🌀 Nel primo appuntamento parleremo di come attivare persone e comunità attraverso i media, e lo faremo con:

🌱 Dino Amenduni, comunicatore politico che ha scritto la storia della ""primavera pugliese"", portando la politica sui social e rivoluzionando il dialogo tra istituzioni e cittadini.

🌱 Eligia Napoletano, social media strategist e community manager, che con Radio JP ha acceso la scintilla dell’attivismo tra centinaia di giovani pugliesi grazie a laboratori di live radio e podcasting.

🌈 Media: attivarsi per raccontare il mondo
🗓️ Sabato 1 marzo, ore 17.00
",
94,🎹 LO SPIRITO CONTINUA#2 | Memoriale per Mino,01.03.2025 | 19:30 - 03:30,"Le Macerie - Baracche Ribelli

1/3/25
Le Macerie, Baracche Ribelli 
Via degli Agricoltori | Molfetta (BA) 

🔥LO SPIRITO CONTINUA#2🔥 

Una serata per salutare Mino ed gli altri compagni e amici che ci hanno lasciato in questi anni. Una serata per salutarli come siamo sicuri avrebbero voluto, con una birra al cielo, con un pugno chiuso alzato e con tanto casino!
Ai nostri compagni! Per sempre con noi! 

Dalle 19:30 sul palco con 👇

🔺O'SKA DJ (Napoli)
🔺BONNY VALENTINE (Giovinazzo)
e tanti altri

Dalle 21:30 sul palco con 👇

🔺 M.A.V.S.
[Hardcore Punk, Molfetta","

🔥LO SPIRITO CONTINUA#2🔥 

Una serata per salutare Mino ed gli altri compagni e amici che ci hanno lasciato in questi anni. Una serata per salutarli come siamo sicuri avrebbero voluto, con una birra al cielo, con un pugno chiuso alzato e con tanto casino!
Ai nostri compagni! Per sempre con noi! 

Dalle 19:30 sul palco con 👇

🔺O'SKA DJ (Napoli
🔺BONNY VALENTINE (Giovinazzo
e tanti altri

Dalle 21:30 sul palco con 👇

🔺 M.A.V.S.
[Hardcore Punk, Molfetta]

🔺 ULTIMA RATIO 
[Streetpunx Hardcore, Molfetta]

🔺 CATTIVO SANGUE
[Streetpunk Oi! since 2007, Molfetta]

🔺 FANTERIA DI PRIMA LINEA
[Metal Punk Crossover, Udine]

Ingresso a CONTRIBUTO LIBERO
Vegan Food
Spazio Distro
D.I.Y."
95,✊ Assemblea pubblica NO DDL Sicurezza,27.02.2025 | 17:30 - 19:30,"Via Francesco Saverio Abbrescia, 13

AL DDL SICUREZZA: 1660 VOLTE NO! Apriamo la nostra sede di UGS (Unione giovani di sinistra) per un'assemblea pubblica per discutere, con le realtà del territorio, delle conseguenze sulla nostra democrazia del DDL Sicurezza. Vogliamo creare un momento di confronto propositivo per fare rete e opporci all'ennesima legge bavaglio di questo Governo. Che tu faccia parte di una realtà o singol3, ti aspettiamo!","per un'assemblea pubblica per discutere, con le realtà del territorio, delle conseguenze sulla nostra democrazia del DDL Sicurezza. Vogliamo creare un momento di confronto propositivo per fare rete e opporci all'ennesima legge bavaglio di questo Governo. Che tu faccia parte di una realtà o singol3, ti aspettiamo!"
96,🎥 🍿PROIEZIONE C'E' ANCORA DOMANI🍿,25.02.2025 | 19:00 - 23:00,"Zona Franka 3.zero

https://www.instagram.com/p/DGa8obPtlvR/?igsh=MXd4YTZicGpvZW9keQ==

*🍿PROIEZIONE C'È ANCORA DOMANI*

🗓️25/02

🕢h. 19:30

",
97,"📖 ""DERRIDA E L'IMMAGINE"" - Presentazione e dedica copie con l'autore Luca Romano. Moderano Piero Percoco e Alessandra Minervini",01.03.2025 | 19:00 - 21:00,"Spine Bookstore c/o Officina degli Esordi

""DERRIDA E L'IMMAGINE"" - Presentazione con l'auore Luca Romano, Piero Percoco e Alessandra Minervini.
Il mese di #marzo comincia con un esordio letterario che aspettavamo, di un autore (e amico) che riabbraccia su libro un percorso di ricerche e tematiche a noi molto vicine.
Sabato 1 Marzo alle 19.00, a SPINE in Officina degli Esordi  (Sala Expo) ospitiamo il filosofo Luca Romano, con la prima presentazione del suo libro ""Derrida e l'immagine. Introduzione alla Teoria del Loop"", di fresca pubblicazione per la casa editrice milanese Mimesis Edizioni. 

Sarà inoltre un bellissimo discorso trasversale su #filosofia, #letteratura e #immagine, anche perché l'autore non sarà solo, ma accompagnato da due affermati rappresentanti dell'arte... [continua a leggere","che riabbraccia su libro un percorso di ricerche e tematiche a noi molto vicine.
Sabato 1 Marzo alle 19.00, a SPINE in Officina degli Esordi  (Sala Expo ospitiamo il filosofo Luca Romano, con la prima presentazione del suo libro ""Derrida e l'immagine. Introduzione alla Teoria del Loop"", di fresca pubblicazione per la casa editrice milanese Mimesis Edizioni. 

Sarà inoltre un bellissimo discorso trasversale su #filosofia, #letteratura e #immagine, anche perché l'autore non sarà solo, ma accompagnato da due affermati rappresentanti dell'arte... [continua a leggere](https://www.apuliacore.org/evento/bb88ce0b-6c74-4655-a782-5ebf5cb36c2c"
98,✊ 🇺🇦 Ucraina Resiliente 🇺🇦,23.02.2025 | 17:00 - 19:00,"Piazza Umberto I

La notte tra il 23 e il 24 Febbraio 2022 la Russia iniziò un'invasione su larga scala dell'Ucraina con obbiettivi di conquista e dominazione.

Oggi l'Ucraina continua a lottare non solo per sé stessa, ma per i valori che ci uniscono: LIBERTA', DEMOCRAZIA, AUTODETERMINAZIONE. Sostenere il suo popolo oggi significa sostenere questi ideali.

Ogni presenza conta!

Resta aggiornato sulle nostre attività!
➡️Facebook: https://www.facebook.com/profile.php?id=100089740487776
➡️Instagram: https://www.instagram.com/uniti_per_ucraina_bari/",
