,name,description,url,start,end,organization_id,created,changed,published,capacity,capacity_is_custom,status,currency,listed,shareable,online_event,tx_time_limit,hide_start_date,hide_end_date,locale,is_locked,privacy_setting,is_series,is_series_parent,inventory_type,is_reserved_seating,show_pick_a_seat,show_seatmap_thumbnail,show_colors_in_seatmap_thumbnail,source,is_free,version,summary,facebook_event_id,logo_id,organizer_id,venue_id,category_id,subcategory_id,format_id,id,resource_uri,is_externally_ticketed,logo,vanity_url,series_id,status_code,error_description,error
10,Unravel Bari’s mysteries with our exciting outdoor escape game!,Explore Bari with a thrilling escape game! Solve puzzles while discovering iconic landmarks and hidden gems.,https://www.eventbrite.sg/e/unravel-baris-mysteries-with-our-exciting-outdoor-escape-game-tickets-1354656577289,2025-07-17T07:00:00,2025-07-17T10:00:00,2256710754123,2025-05-06T08:46:36Z,2025-05-06T08:46:36Z,2024-10-27T13:39:43Z,,,live,USD,True,True,False,1200.0,False,False,en_US,False,unlocked,True,False,limited,False,False,False,False,api,False,,Explore Bari with a thrilling escape game! Solve puzzles while discovering iconic landmarks and hidden gems.,,884253943,89370453463,236584289,109,9006,16,1354656577289,https://www.eventbriteapi.com/v3/events/1354656577289/,False,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F884253943%2F2357713297203%2F1%2Foriginal.20241027-133700?auto=format%2Ccompress&q=75&sharp=10&s=36d723cf6f6d0d4527d7e6744ad3e75c,,1061354623249,,,
11,Bari Audio Tour: Bari's Theatrical and Sacred Heritage Audio Odyssey,Self-guided audio tour of Bari. Explore the area while listening to fascinating stories.,https://www.eventbrite.co.uk/e/bari-audio-tour-baris-theatrical-and-sacred-heritage-audio-odyssey-tickets-1437821826789,2025-07-16T10:00:00,2025-07-16T22:00:00,2754305095881,2025-06-26T13:38:32Z,2025-07-16T11:38:23Z,2025-05-16T22:01:30Z,,,started,EUR,True,True,False,1200.0,True,True,en_US,False,unlocked,True,False,limited,False,False,False,False,api,False,,Self-guided audio tour of Bari. Explore the area while listening to fascinating stories.,,1029867503,110903480871,270048343,109,9006,16,1437821826789,https://www.eventbriteapi.com/v3/events/1437821826789/,False,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1029867503%2F2754305045531%2F1%2Foriginal.20250513-163718?auto=format%2Ccompress&q=75&sharp=10&s=fa2ac5fae95ce37273061b23fb62e019,,1364442126129,,,
12,il rave dell comete 2025 /  21esima edizione - DAS KLUB Adelfia BARI,"IL RAVE DELLE COMETE 2025
10.08.2025
TEKNO / ACIDCORE / MENTALCORE / TRIBE / DNB / HARDTECHO",https://www.eventbrite.com/e/il-rave-dell-comete-2025-21esima-edizione-das-klub-adelfia-bari-tickets-1492461204639,2025-08-10T19:00:00,2025-08-11T12:00:00,387293933047,2025-07-15T16:44:38Z,2025-07-16T18:47:02Z,2025-07-15T16:49:01Z,,,live,EUR,True,True,False,1200.0,False,False,en_US,False,unlocked,False,False,limited,False,False,False,False,coyote,False,,"IL RAVE DELLE COMETE 2025
10.08.2025
TEKNO / ACIDCORE / MENTALCORE / TRIBE / DNB / HARDTECHO",,1074052213,73175516943,278643463,103,3006,11,1492461204639,https://www.eventbriteapi.com/v3/events/1492461204639/,False,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1074052213%2F387293933047%2F1%2Foriginal.20250715-163547?auto=format%2Ccompress&q=75&sharp=10&s=970de6d484eb9c488fc7330651f0b15e,,,,,
13,Il Tesoro di Turi,Scopri il tesoro nascosto di Turi! Vieni a visitare la Grotta di Sant'Oronzo e ammira le splendide maioliche laertine del 1700!,https://www.eventbrite.com/e/biglietti-il-tesoro-di-turi-981803068407,2025-07-20T09:00:00,2025-07-20T12:00:00,2265211928683,2024-08-08T12:24:36Z,2025-05-04T10:30:52Z,2024-08-08T12:30:48Z,,,live,EUR,True,True,False,1200.0,False,False,it_IT,False,unlocked,True,False,limited,False,False,False,False,coyote,False,,Scopri il tesoro nascosto di Turi! Vieni a visitare la Grotta di Sant'Oronzo e ammira le splendide maioliche laertine del 1700!,,823072119,89772820453,226733709,113,13010,17,981803068407,https://www.eventbriteapi.com/v3/events/981803068407/,False,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F823072119%2F2265210790773%2F1%2Foriginal.20240808-121359?auto=format%2Ccompress&q=75&sharp=10&s=c77be7fe163c4288dde0850fcd623c28,,981801834717,,,
14,"CAPO SUMMER VIBES - Il gusto dell’estate, nel cuore della Puglia","Musica, gusto e cocktail firmati Vecchio Amaro del Capo: vivi l’estate a Parco La Serra con Capo Summer Vibes.",https://www.eventbrite.it/e/biglietti-capo-summer-vibes-il-gusto-dellestate-nel-cuore-della-puglia-1421746073779,2025-08-02T20:30:00,2025-08-02T23:30:00,1923278372063,2025-06-19T14:08:04Z,2025-07-11T11:39:30Z,2025-06-20T12:36:17Z,,,live,EUR,True,True,False,1200.0,False,True,it_IT,False,unlocked,False,False,limited,False,False,False,False,coyote,False,,"Musica, gusto e cocktail firmati Vecchio Amaro del Capo: vivi l’estate a Parco La Serra con Capo Summer Vibes.",1894615681273550,1056605793,96062049023,236343979,110,10999,11,1421746073779,https://www.eventbriteapi.com/v3/events/1421746073779/,False,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1056605793%2F1923278331783%2F1%2Foriginal.20250619-144708?auto=format%2Ccompress&q=75&sharp=10&s=3777118b71cbf7f5eb24a94d5c3f5e81,,,,,
15,Management Drives Experience -  Bari,"Un evento dedicato all’importanza dell’empatia, dell’ascolto e della collaborazione per costruire team più affiatati.",https://www.eventbrite.it/e/biglietti-management-drives-experience-bari-1128727417089,2025-11-13T15:45:00,2025-11-13T19:00:00,2060046393163,2024-12-31T13:19:50Z,2024-12-31T13:42:22Z,2024-12-31T13:36:20Z,,,live,EUR,True,True,False,1200.0,False,False,it_IT,False,unlocked,False,False,limited,False,False,False,False,auto_create,False,,"Un evento dedicato all’importanza dell’empatia, dell’ascolto e della collaborazione per costruire team più affiatati.",,925384083,80892480183,248129023,101,1999,10,1128727417089,https://www.eventbriteapi.com/v3/events/1128727417089/,False,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F925384083%2F2060046080993%2F1%2Foriginal.20241231-133254?auto=format%2Ccompress&q=75&sharp=10&s=b32dfedf252b4aa2c135654c899fe311,,,,,
16,il GUSTO del FIORE,"Un'esperienza culinaria unica  sui fiori eduli, con degustazioni, corsi di cucina e tanto relax!",https://www.eventbrite.it/e/biglietti-il-gusto-del-fiore-1417250256669,2025-07-18T18:30:00,2025-07-18T22:00:00,1307099895593,2025-06-17T15:40:09Z,2025-07-15T08:53:55Z,2025-06-17T15:51:31Z,,,live,EUR,True,True,False,1200.0,False,False,it_IT,False,unlocked,True,False,limited,False,False,False,False,auto_create,False,,"Un'esperienza culinaria unica  sui fiori eduli, con degustazioni, corsi di cucina e tanto relax!",,1058107803,58338660903,275015733,110,10003,5,1417250256669,https://www.eventbriteapi.com/v3/events/1417250256669/,False,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1058107803%2F1269052273613%2F1%2Foriginal.20250622-144854?auto=format%2Ccompress&q=75&sharp=10&s=355097beb0bfd7cccc223510aeb84e47,,1417037470219,,,
17,Degustazione Casual @ vecchio e il mare,Vecchio e il mare & Food & More tornano con la quinta edizione della degustazione il 28 luglio con tantissime novità,https://www.eventbrite.it/e/biglietti-degustazione-casual-vecchio-e-il-mare-1460462224829,2025-07-28T20:30:00,2025-07-29T01:00:00,1929972464983,2025-07-03T10:48:40Z,2025-07-16T20:38:41Z,2025-07-03T10:58:28Z,,,live,EUR,True,True,False,1200.0,False,True,it_IT,False,unlocked,False,False,limited,False,False,False,False,coyote,False,,Vecchio e il mare & Food & More tornano con la quinta edizione della degustazione il 28 luglio con tantissime novità,,1065877413,81291826173,275950473,110,10002,5,1460462224829,https://www.eventbriteapi.com/v3/events/1460462224829/,False,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1065877413%2F1929972384423%2F1%2Foriginal.20250703-104929?auto=format%2Ccompress&q=75&sharp=10&s=0c7210ce84976f5abbc98ec6ce0c93a7,,,,,
18,San Leo Music Fest 2025,Sarah Jane Morris - THE SISTERHOOD - with Tony Rèmy and Tim Cansfield,https://www.eventbrite.it/e/san-leo-music-fest-2025-tickets-1436943680229,2025-08-30T21:00:00,2025-08-30T23:30:00,2817328039831,2025-06-26T10:48:35Z,2025-07-15T06:21:51Z,2025-07-14T14:37:59Z,,,live,EUR,True,True,False,1200.0,False,False,en_US,False,unlocked,False,False,limited,False,False,False,False,coyote,False,,Sarah Jane Morris - THE SISTERHOOD - with Tony Rèmy and Tim Cansfield,,1064906403,113073867971,276245603,103,3027,6,1436943680229,https://www.eventbriteapi.com/v3/events/1436943680229/,False,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1064906403%2F2817327788081%2F1%2Foriginal.20250702-071249?auto=format%2Ccompress&q=75&sharp=10&s=343d4f482f41ccac1909016d5b477516,,,,,
19,5 days Seaside yoga retreat - South Italy,"Craving for an unforgettable holiday? Come and join our seaside yoga retreat, relax, grow and connect in a charming villa",https://www.eventbrite.it/e/5-days-seaside-yoga-retreat-south-italy-tickets-1068980000959,2025-08-20T15:00:00,2025-08-24T10:30:00,485245695109,2024-10-31T10:51:58Z,2024-10-31T10:54:14Z,2024-10-31T10:54:14Z,,,live,EUR,True,True,False,1200.0,False,False,en_US,False,unlocked,False,False,limited,False,False,False,False,coyote,False,,"Craving for an unforgettable holiday? Come and join our seaside yoga retreat, relax, grow and connect in a charming villa",,888758603,31534673255,186517619,107,7005,18,1068980000959,https://www.eventbriteapi.com/v3/events/1068980000959/,False,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F888758603%2F485245360785%2F1%2Foriginal.20241031-104729?auto=format%2Ccompress&q=75&sharp=10&s=1e86541b038fa94ad7a6d7d6fe4841b3,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,403.0,You do not have permission to access the resource you requested.,NOT_AUTHORIZED
21,Sotto le Stelle del Borgo,"Degustazioni, musica e tradizione sotto il cielo stellato di Borgo San Tommaso. Vivi una serata magica all’aperto.",https://www.eventbrite.it/e/biglietti-sotto-le-stelle-del-borgo-1494267858389,2025-08-08T20:30:00,2025-08-09T01:00:00,2836240275221,2025-07-16T07:45:07Z,2025-07-16T16:46:36Z,2025-07-16T09:36:54Z,,,live,EUR,True,True,False,1200.0,False,False,it_IT,False,unlocked,False,False,limited,False,False,False,False,coyote,False,,"Degustazioni, musica e tradizione sotto il cielo stellato di Borgo San Tommaso. Vivi una serata magica all’aperto.",,1074617933,113789965811,278809513,113,13003,5,1494267858389,https://www.eventbriteapi.com/v3/events/1494267858389/,False,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1074617933%2F2836240224871%2F1%2Foriginal.20250716-092125?auto=format%2Ccompress&q=75&sharp=10&s=38063e7f5fdebc7c40be562ffd294a84,https://Sottolestelledelborgo.eventbrite.it,,,,
22,Painting on Board: sunset and traditional food,Un’esperienza intima ed esclusiva a bordo di una barca al tramonto firmata Kess'Art,https://www.eventbrite.it/e/painting-on-board-sunset-and-traditional-food-tickets-1421357892719,2025-07-20T18:00:00,2025-07-20T21:00:00,2468142341101,2025-06-19T12:31:48Z,2025-06-19T12:35:08Z,2025-06-19T12:35:08Z,,,live,EUR,True,True,False,1200.0,False,False,en_US,False,unlocked,False,False,limited,False,False,False,False,coyote,False,,Un’esperienza intima ed esclusiva a bordo di una barca al tramonto firmata Kess'Art,,1056511023,102609506631,275341033,110,10002,9,1421357892719,https://www.eventbriteapi.com/v3/events/1421357892719/,False,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1056511023%2F2468140870881%2F1%2Foriginal.20250619-123319?auto=format%2Ccompress&q=75&sharp=10&s=1d24a8b9ced80ba6a2479a1126d5a0bc,,,,,
23,NAVIGANDO CON I SENSI,Ritagliati del tempo per te: sali a bordo di un'imbarcazione privata e lasciati trasportare da un’esperienza unica!,https://www.eventbrite.it/e/biglietti-navigando-con-i-sensi-1492352850549,2025-07-25T18:00:00,2025-07-25T21:00:00,2599677396071,2025-07-15T15:49:08Z,2025-07-15T15:58:34Z,2025-07-15T15:58:34Z,,,live,EUR,True,True,False,1200.0,False,False,it_IT,False,unlocked,False,False,limited,False,False,False,False,auto_create,False,,Ritagliati del tempo per te: sali a bordo di un'imbarcazione privata e lasciati trasportare da un’esperienza unica!,,1074015133,106640809591,278634003,110,10002,16,1492352850549,https://www.eventbriteapi.com/v3/events/1492352850549/,False,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1074015133%2F2170936135533%2F1%2Foriginal.20250715-155540?auto=format%2Ccompress&q=75&sharp=10&s=6bffd858f7ffabf372fc95ac60176e8b,,,,,
24,BLU - SUNSET APERITIF,La magia della Peschiera si apre alle vibrazioni della musica contemporanea,https://www.eventbrite.it/e/blu-sunset-aperitif-tickets-1476185503579,2025-07-20T18:30:00,2025-07-20T23:30:00,2238590655143,2025-07-09T08:32:01Z,2025-07-16T18:28:50Z,2025-07-09T08:46:11Z,,,live,EUR,True,True,False,1200.0,False,False,en_US,False,unlocked,False,False,limited,False,False,False,False,coyote,False,,La magia della Peschiera si apre alle vibrazioni della musica contemporanea,,1069677923,88633812823,270561273,110,10003,11,1476185503579,https://www.eventbriteapi.com/v3/events/1476185503579/,False,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1069677923%2F2238590453743%2F1%2Foriginal.20250709-082737?auto=format%2Ccompress&q=75&sharp=10&s=c73c1f0569a356d8b13f26a4624730ba,,,,,
25,Hackathon ReturnCode_2k25,"Return Code 2k25 è l’hackathon che unisce tecnologia, etica e territorio. Una sfida per innovatori e developer del futuro.",https://www.eventbrite.it/e/biglietti-hackathon-returncode-2k25-1408300858779,2025-07-26T08:30:00,2025-07-26T20:30:00,2793594016551,2025-06-11T10:00:20Z,2025-07-10T14:12:13Z,2025-06-17T16:33:45Z,,,live,EUR,True,True,False,900.0,False,False,it_IT,False,unlocked,False,False,limited,False,False,False,False,auto_create,False,,"Return Code 2k25 è l’hackathon che unisce tecnologia, etica e territorio. Una sfida per innovatori e developer del futuro.",739711501841855,1054699333,112241824151,274210143,102,2004,14,1408300858779,https://www.eventbriteapi.com/v3/events/1408300858779/,False,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1054699333%2F646353029063%2F1%2Foriginal.20250617-103824?auto=format%2Ccompress&q=75&sharp=10&s=3719bff2115de253d6bc6f7fd9a71214,,,,,
26,TORNANZA MEETUP,Team Tornanza live on stage - dj set - sunset - drink & food,https://www.eventbrite.com/e/tornanza-meetup-tickets-1487797334879,2025-07-31T19:00:00,2025-07-31T22:00:00,2235527592753,2025-07-14T08:19:44Z,2025-07-14T08:52:28Z,2025-07-14T08:37:08Z,,,live,EUR,True,True,False,1200.0,False,False,en_US,False,unlocked,False,False,limited,False,False,False,False,coyote,False,,Team Tornanza live on stage - dj set - sunset - drink & food,705282789087563,1072818563,88496639283,278410873,113,13999,10,1487797334879,https://www.eventbriteapi.com/v3/events/1487797334879/,False,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1072818563%2F2235527502123%2F1%2Foriginal.20250714-081816?auto=format%2Ccompress&q=75&sharp=10&s=e020ecb387bc4f1e2daa736224254a54,,,,,
27,Fashion Street sfilata di moda,Vieni a Fashion Street sfilata di moda per vedere le ultime tendenze di moda sulle passerelle della nostra città!,https://www.eventbrite.com/e/biglietti-fashion-street-sfilata-di-moda-1433256501779,2025-07-25T20:00:00,2025-07-25T23:00:00,2816115078121,2025-06-25T10:01:09Z,2025-06-25T10:07:22Z,2025-06-25T10:07:22Z,,,live,EUR,True,True,False,1200.0,False,False,it_IT,False,unlocked,False,False,limited,False,False,False,False,auto_create,False,,Vieni a Fashion Street sfilata di moda per vedere le ultime tendenze di moda sulle passerelle della nostra città!,,1060171393,113024454481,276074043,106,6001,,1433256501779,https://www.eventbriteapi.com/v3/events/1433256501779/,False,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1060171393%2F2816115078121%2F1%2Foriginal.png?auto=format%2Ccompress&q=75&sharp=10&s=06fec01b7323faa3f9297b2afb32add1,,,,,
28,Birra e Salsiccia,"Salsiccia & Birra – Il gusto dell’estate! 
 Parco Europa – Andria
 Giovedì 17 e Venerdì 18 Luglio 2025
 Dalle ore 20.30",https://www.eventbrite.com/e/birra-e-salsiccia-tickets-1433121086749,2025-07-17T20:00:00,2025-07-18T01:00:00,2816115078121,2025-06-25T09:38:16Z,2025-06-25T09:40:14Z,2025-06-25T09:40:14Z,,,live,EUR,True,True,False,1200.0,False,False,en_US,False,unlocked,True,False,limited,False,False,False,False,coyote,False,,"Salsiccia & Birra – Il gusto dell’estate! 
 Parco Europa – Andria
 Giovedì 17 e Venerdì 18 Luglio 2025
 Dalle ore 20.30",,,113024454481,276071273,110,10001,11,1433121086749,https://www.eventbriteapi.com/v3/events/1433121086749/,False,,,1433117144959,,,
